Date,Open,High,Low,Close,Volume,Project Name,Credits Issued
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS5047 VPA37 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project V,905.0
2020-12-24,24.61000061035156,24.649999618530277,24.399999618530277,18.612001419067383,8700,"Rentech Nitrogen, LLC - Nitric Acid Plant 2",114365.0
2020-12-24,24.61000061035156,24.649999618530277,24.399999618530277,18.612001419067383,8700,"Rentech Nitrogen, LLC - Nitric Acid Plant 2",27565.0
2020-12-29,25.1299991607666,25.1299991607666,24.90999984741211,18.924636840820312,6100,GS5047 VPA5 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Burera II,39.0
2020-12-29,25.1299991607666,25.1299991607666,24.90999984741211,18.924636840820312,6100,GS5047 VPA5 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Burera II,663.0
2020-12-29,25.1299991607666,25.1299991607666,24.90999984741211,18.924636840820312,6100,GS5047 VPA7 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Musanze,202.0
2020-12-31,24.739999771118164,24.739999771118164,24.530000686645508,18.64455223083496,3200,Coffeyville NAP2,195070.0
2020-12-31,24.739999771118164,24.739999771118164,24.530000686645508,18.64455223083496,3200,Bamako Clean Cookstoves - Improving livelihoods and fighting desertification in the Sahel zone,202.0
2021-01-06,25.21999931335449,25.61000061035156,25.200000762939453,19.333410263061523,32900,Brook View Dairy Methane Reduction Project,18005.0
2021-01-07,25.575000762939453,26.209999084472656,25.575000762939453,19.83074951171875,18600,Finite Carbon - Alma Land Company IFM,71689.0
2021-01-07,25.575000762939453,26.209999084472656,25.575000762939453,19.83074951171875,18600,Finite Carbon - Rowland IFM,121283.0
2021-01-25,25.6299991607666,26.0,24.489999771118164,19.023801803588867,31600,Captura de Carbono Forestal Ejido San Lucas,2948.0
2021-01-25,25.6299991607666,26.0,24.489999771118164,19.023801803588867,31600,Captura de Carbono Forestal Ejido San Lucas,685.0
2021-01-25,25.6299991607666,26.0,24.489999771118164,19.023801803588867,31600,The B6 Dairy Farm BioFactory(R) Project,28075.0
2021-01-25,25.6299991607666,26.0,24.489999771118164,19.023801803588867,31600,The B6 Dairy Farm BioFactory(R) Project,21881.0
2021-01-25,25.6299991607666,26.0,24.489999771118164,19.023801803588867,31600,Alcoa Landfill Gas Destruction Project,16922.0
2021-01-25,25.6299991607666,26.0,24.489999771118164,19.023801803588867,31600,GS5658 VPA 4: Resilience with Safe Drinking Water in Drought Prone Areas of Bale Zone in Oromia (Ethiopia),244.0
2021-01-25,25.6299991607666,26.0,24.489999771118164,19.023801803588867,31600,GS5658 VPA 4: Resilience with Safe Drinking Water in Drought Prone Areas of Bale Zone in Oromia (Ethiopia),935.0
